finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/security/findings/c642bc5fb968819180c6e5673807cce8,wenakita/4626,https://github.com/wenakita/4626,New DB migration scripts disable TLS cert validation by default,"Both db-migrate-023.mjs and db-migrate-024.mjs build the pg client with `ssl: { rejectUnauthorized: rejectUnauthorized ?? false }` for any non-local database URL. Because the default is false when POSTGRES_SSL_REJECT_UNAUTHORIZED is unset, the scripts will accept any TLS certificate for remote connections. This weakens transport security for migrations and allows a network-adjacent attacker to intercept credentials or alter migration traffic if they can position themselves in the connection path. A secure default should enforce certificate validation and only relax it when explicitly configured.",medium,new,2026-04-01T05:05:06.044013Z,2026-03-31 21:43:32 -0700,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,c40fcaa27913f188c90c064634e894f0fc26219c,frontend/scripts/db-migrate-023.mjs | frontend/scripts/db-migrate-024.mjs,
https://chatgpt.com/codex/security/findings/f4e11f1b092481919729e29727586576,wenakita/4626,https://github.com/wenakita/4626,Postgres init retries with TLS verification disabled,"The commit adds a fallback path for Postgres initialization that detects SELF_SIGNED_CERT_IN_CHAIN errors and reattempts the connection with TLS certificate verification disabled. Because this fallback is enabled by default unless an operator explicitly configures POSTGRES_SSL_REJECT_UNAUTHORIZED or disables POSTGRES_SSL_ALLOW_SELF_SIGNED_FALLBACK, a network-adjacent attacker who can intercept traffic can force a self-signed certificate error and then MITM the database connection. This exposes database credentials and allows read/modify access to backend data.",medium,new,2026-03-31T13:51:57.643058Z,2026-03-31 06:39:28 -0700,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,1ade22b99107fef22059e7bfaa525db0f6621883,frontend/server/_lib/postgres.ts,
https://chatgpt.com/codex/security/findings/ffa60014304c81918fc457a05013d864,wenakita/4626,https://github.com/wenakita/4626,Rate-limit revert can block LayerZero VRF inbound lane,"CreatorVRFConsumerV2_5 now reverts when `_consumeRateLimit` returns false in `_lzReceive`. LayerZero OApp delivery is typically blocking on failed inbound messages, so a single rate-limited request can leave the inbound lane stuck until a manual retry after the window resets. If remote chain requesters are permissionless, an attacker can spam requests to hit the limit and halt all subsequent VRF processing from that chain. Previously, the code simply returned (ignored) on rate limit without reverting, avoiding inbound lane blockage.",medium,new,2026-03-31T13:15:32.089386Z,2026-03-31 06:06:25 -0700,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,b8d914ce9f2e1cf95f5333a172e754ad12ef5e80,contracts/utilities/lottery/vrf/CreatorVRFConsumerV2_5.sol,
https://chatgpt.com/codex/security/findings/161da0f9b94081918942a127f355008a,wenakita/4626,https://github.com/wenakita/4626,Cursor install script executes remote Foundry installer unsafely,"The commit adds .cursor/environment.json that tells the Cursor cloud agent to run .cursor/install.sh during provisioning. The install script downloads and executes https://foundry.paradigm.xyz directly via `curl | bash` without signature or checksum validation. If the download is compromised (MITM, DNS hijack, or upstream compromise), arbitrary code executes in the agent environment, which can expose secrets or alter builds. This is a supply-chain RCE risk introduced by the new automation.",medium,new,2026-03-21T01:21:07.172112Z,2026-02-25 09:27:36 +0000,cursoragent@cursor.com,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,001be054aa9c95f418d41f0971a3c4ca57752f31,cursor/environment.json | cursor/install.sh,
https://chatgpt.com/codex/security/findings/13354c0ddbc08191a1434e63e97defbb,wenakita/4626,https://github.com/wenakita/4626,Solana transfer hook allows forged lottery entries,"The new `transfer_hook` instruction accepts all token accounts as `UncheckedAccount` and never verifies that the source/destination accounts are Token-2022 accounts for the provided mint or that the call originated from a real Token-2022 transfer. The handler simply reads raw bytes from these unverified accounts and uses the extracted owner to decide whether to record a lottery entry. Because anyone can call this instruction directly (or via the fallback) and supply arbitrary accounts with crafted data, an attacker can fabricate a source account whose owner matches an allow‑listed AMM program and force `PendingEntries` to record entries without performing a swap. This allows lottery entry stuffing, skewing win chances and potentially draining jackpots once the keeper relays the forged entries to Base.",medium,new,2026-03-21T02:40:40.195955Z,2026-02-08 12:09:42 -0800,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,1f9a36c28a7eae6f5079a9024435678e34f35d30,programs/creator-share-hook/src/instructions/execute_hook.rs,
https://chatgpt.com/codex/security/findings/e3c5bcee33508191afdcc89bb1cab73b,wenakita/4626,https://github.com/wenakita/4626,CSW link points can be farmed with unlimited addresses,"The commit introduces /waitlist/csw-link, which awards CSW link points using the provided CSW address as the ledger source_id. The points ledger is only idempotent per (signup_id, source, source_id). Because source_id is the CSW address, a caller can repeatedly submit different addresses for the same email to insert new rows and accrue unlimited 250‑point awards. There is no check for an existing CSW link, nor is the CSW address persisted for uniqueness enforcement, so this can be exploited to manipulate waitlist rankings or allocations.",medium,new,2026-03-21T03:42:07.386434Z,2026-01-28 14:11:29 -0800,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,2df90eab7a43e8635a15c9f4e45243376c0206e6,frontend/api/_handlers/waitlist/_csw-link.ts | frontend/server/_lib/waitlistPoints.ts,
https://chatgpt.com/codex/security/findings/b3e815c4945081918a1465e39cccf658,wenakita/4626,https://github.com/wenakita/4626,Public authStatus endpoint leaks masked Zora server API key,"The commit adds `/api/zora/cli/authStatus`, implemented as a read-only GET endpoint that explicitly disables the server-key requirement and returns the result of `authStatusCli()`. That helper reads `process.env.ZORA_SERVER_API_KEY` and returns a masked version (first 8 and last 4 characters). Although partially masked, this leaks secret material and confirms the presence of the server key to unauthenticated users, which can aid targeted abuse or key-guessing/social engineering. The endpoint should avoid returning any portion of the key or should be protected by authentication/allowlist.",low,new,2026-04-01T07:30:48.752901Z,2026-04-01 00:13:26 -0700,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,fc639595abf04255a78b05ce8cef94a1e0ead14d,frontend/api/_handlers/zora/cli/_authStatus.ts | frontend/server/zora/cliCompat.ts,
https://chatgpt.com/codex/security/findings/5880d29d08208191a904e9ea584090dc,wenakita/4626,https://github.com/wenakita/4626,Browser defaults skip Zora migration trust checks,"The commit introduces a browser-only gate (VERIFY_MIGRATION_IMPLEMENTATION) that defaults to false unless an environment flag is explicitly set. When false, the migration scanner skips verifying contract bytecode against the allowlist and unconditionally marks all LiquidityMigrated log emitters as trusted. Since any contract can emit the same event topic with self-referential pool keys, an attacker can spoof migration events to have arbitrary coins flagged as migrated, causing the UI to display lower (1%) fees and “migrated” status for untrusted assets. This is an integrity issue that can mislead users and affect trading decisions.",low,new,2026-03-21T16:43:37.864865Z,2026-03-21 09:25:01 -0700,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,c3c2826fe309515bdac60c7b62bedef45824234e,frontend/src/lib/zora/migrations.ts,
https://chatgpt.com/codex/security/findings/a78dbef70ff881918d4f57d52c6be4e2,wenakita/4626,https://github.com/wenakita/4626,Wallet-gated AI prompts no longer enforced,"generateLlmResponse previously required a valid sender wallet for non-explicit prompts, which is how /ai commands are passed in from handleKeeprCommand after stripping the prefix. The refactor removed this check and now proceeds with runtime/LLM execution even when toSenderAddress returns null or a fallback ZERO_ADDRESS. As a result, unlinked users can invoke /ai and receive full AI responses, potentially exhausting the LLM budget or bypassing intended access controls for chat AI usage.",low,new,2026-03-21T00:03:51.148140Z,2026-03-20 01:33:03 -0700,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,c566c3a3411268105664de2403a94efa6103bb0d,frontend/server/ai/chat.ts | frontend/server/keepr/commands.ts | frontend/api/_handlers/telegram/webhook/env.ts,
https://chatgpt.com/codex/security/findings/f15752674ce88191ac2906f9ce83eeaa,wenakita/4626,https://github.com/wenakita/4626,Unauthenticated Uniswap Trading API proxy exposes server key,"The commit adds multiple /api/uniswap/* handlers that accept arbitrary requests, apply only IP-based rate limiting, and forward them to the Uniswap Trading API using the server-side API key. Because there is no session or authorization check, any external caller can use these endpoints as an open proxy to the Trading API (including plan creation/update). This can lead to API key abuse, quota exhaustion, and unauthorized manipulation of cross-chain plan state tied to the project’s API key.",low,new,2026-03-21T01:50:40.238593Z,2026-02-20 01:07:39 -0800,akitav2@proton.me,,,false,330f83e2-7670-4839-a8d6-3053b5376cd3:github-1144833463,3461a199258a9a82819bd3130d0c0f73fd30603f,frontend/api/_handlers/uniswap/_plan.ts | frontend/server/uniswap/trading.ts,
